Chicago Citation,Abstract,First Author Institution,Other Author Institutions
"Wojcieszak, Magdalena, Vincent Price. ""Bridging the Divide or Intensifying the Conflict? How Disagreement Affects Strong Predilections about Sexual Minorities"". Political Psychology 31, no. 3 (2010)","This study draws on a sample of participants in online groups that discussed legalization of same-sex marriage, to examine whether exposure to perceived disagreement decreases—as the deliberative theorists hope—or rather increases—as the research on confirmation bias predicts—strongly held predilections. Overall, participants' views towards same-sex marriage and sexual minority rights remained largely unchanged after deliberating, regardless of the ideological composition of their groups. Consistent with the confirmation bias model, those who strongly opposed same-sex marriage and sexual minority rights prior to the discussions and who perceived that others disagreed with them became even more opposed, and this effect was not a short-term shift. Strong proponents, on the other hand, did not polarize in their views, but instead became slightly less favorable towards same-sex marriage and sexual minority rights as a result of disagreement. Implications of these findings for deliberation of contentious issues are discussed.",IE University,['University of Pennsylvania']
"Passini, Stefano, Davide Morselli. ""Disobeying an Illegitimate Request in a Democratic or Authoritarian System"". Political Psychology 31, no. 3 (2010)","Crimes of obedience in the form of illegal or immoral acts committed in response to orders from authority occur in many contexts. In particular, under some circumstances of threats, people can easily accept restrictions upon democratic procedures. Recent studies have underlined the role of legitimacy in understanding the authority relationship and the importance of evaluating the legitimacy of the request rather than the legitimacy of the authority in preventing the rise of authoritarianism. The purpose of this study was to verify if people respond differently when an illegitimate request is put forward by a democratic or an authoritarian authority. The results on 224 subjects confirmed that people tend to be more obedient when they perceive authorities as democratic, notwithstanding the legitimacy of their requests.","University of Bologna, Italy","['University of Lausanne, Switzerland']"
"Esch, Joanne. ""Legitimizing the ""War on Terror"": Political Myth in Official-Level Rhetoric"". Political Psychology 31, no. 3 (2010)","This paper argues that mythical discourse affects political practice by imbuing language with power, shaping what people consider to be legitimate, and driving the determination to act. Drawing on Bottici's (2007) philosophical understanding of political myth as a process of work on a common narrative that answers the human need to ground events in significance, it contributes to the study of legitimization in political discourse by examining the role of political myth in official-level U.S. war rhetoric. It explores how two ubiquitous yet largely invisible political myths, American Exceptionalism and Civilization vs. Barbarism, which have long defined America's ideal image of itself and its place in the world, have become staples in the language of the ""War on Terror."" Through a qualitative analysis of the content of over 50 official texts containing lexical triggers of the two myths, this paper shows that senior officials of the Bush Administration have rhetorically accessed these mythical representations of the world in ways that legitimize and normalize the practices of the ""War on Terror.""",University of Colorado at Boulder,[]
"Roccas, Sonia, Shalom H. Schwartz, Adi Amit. ""Personal Value Priorities and National Identification"". Political Psychology 31, no. 3 (2010)","We examine relations of personal value priorities to identification with one's nation. We hypothesize that relations of values to identification depend on the motivations that can be attained by identifying with a nation. Study 1 confirmed the hypothesis that identification with one's nation correlates positively with conservation values and negatively with openness to change values in Israel and the USA. Moreover, values predicted identification with the nation above and beyond Right-Wing Authoritarianism. Study 2 showed that increasing the salience of conservation values produced higher identification with Israel, whereas increasing the salience of openness to change values produced lower identification. Study 3 tested the hypothesis that when identification with a national group conflicts with social expectations it has different, even reversed relations with value priorities. We examined identification of recent immigrants to Israel. The more pressure immigrants felt to assimilate, the more positive the correlation of conservation values with identification with the country of residence (Israel) and the more negative the correlation of conservation values with identification with the country of origin (Russia). Taken together, the findings point to the utility of values in revealing the motivational functions of identification with a nation.",The Open University of Israel,['The Hebrew University of Jerusalem']
"Schwartz, Shalom H., Gian Vittorio Caprara, Michele Vecchione. ""Basic Personal Values, Core Political Values, and Voting: A Longitudinal Analysis"". Political Psychology 31, no. 3 (2010)","We theorize that political values express basic personal values in the domain of politics. We test a set of hypotheses that specify how the motivational structure of basic values constrains and gives coherence to core political values. We also test the hypothesis that core political values mediate relations of basic personal values to voting demonstrated in previous research. We measured the basic personal values, core political values, and vote of Italian adults both before (n = 1699) and after (n = 1030) the 2006 national election. Basic values explained substantial variance in each of eight political values (22% to 53%) and predicted voting significantly. Correlations and an MDS projection of relations among basic values and political values supported the hypothesized coherent structuring of core political values by basic values. Core political values fully mediated relations of basic values to voting, supporting a basic values—political values—voting causal hierarchy.",The Hebrew University of Jerusalem,"['University of Rome ""La Sapienza""']"
"McFarland, Sam. ""Authoritarianism, Social Dominance, and Other Roots of Generalized Prejudice"". Political Psychology 31, no. 3 (2010)","The search for the personological roots of generalized prejudice (or ethnocentrism) began with the authoritarian personality, but in recent years, the twin constructs of right-wing authoritarianism and social dominance orientation have been widely treated as the dual processes that lead to generalized prejudice. However, studies conducted for this article show that other constructs, notably empathy and principled moral reasoning, contribute important additional variance. Whereas authoritarianism and social dominance positively predict generalized prejudice, empathy and principled moral reasoning are related negatively to it. For the final study, a structural model of these relationships was tested. To fully understand individual differences in the propensity for generalized prejudice, it is necessary to move beyond the dual processes union of authoritarianism and social dominance.",Western Kentucky University,[]
"Darmofal, David. ""Reexamining the Calculus of Voting"". Political Psychology 31, no. 2 (2010)","This study applies social cognitive theory to the study of voter turnout, examining the effects of self-efficacy on citizens' decisions of whether or not to vote. Consistent with recent arguments in cognitive psychology (Fenton-O'Creevy, Nicholson, Soane, & Willman, 2003, 2005), I argue that excessive perceptions of self-efficacy lead some citizens to overestimate their vote's impact in close elections and to vote as a consequence of these perceptions. This illusion of control is further engendered by the features of skill-based activities such as choice, personal involvement, stimulus familiarity, and exertion of effort (Langer, 1975) that are inherent in the act of voting. Employing both cross-sectional and panel data, I find that individuals with high levels of self-efficacy are more likely to be moved to vote by perceptions that an election will be close than are citizens with low levels of self-efficacy.",University of South Carolina,[]
"Sibley, Chris G., James H. Liu. ""Social Dominance Orientation: Testing a Global Individual Difference Perspective"". Political Psychology 31, no. 2 (2010)","There has been considerable debate regarding whether Social Dominance Orientation (SDO) constitutes a global individual difference that predicts prejudice or is instead a product of self-categorization processes. Two studies addressed this issue by contrasting the predictive and discriminant validity of SDO and reworded SDO items assessing prescriptive attitudes toward inequality and dominance based on specific stratifications. Consistent with a global individual difference perspective, SDO predicted systematic between-person consistencies in attitudes toward inequality based on specific group-based stratifications. Moreover, SDO and specific stratification attitudes exerted reciprocal cross-lagged effects on one another over five months (Study 1, N = 252). These results indicate that SDO is partially derived from specific attitudes and experiences (a bottom-up effect), but once formed, SDO exerts a reciprocal (top-down) effect on specific attitudes and cognitions about group-based dominance across a range of stratifications. Cross-sectional analyses indicated that SDO also predicted generalized prejudice toward ethnic groups after controlling for ethnic stratification attitudes (Study 2, N = 138). Taken together, these results indicate that SDO reflects a global motivation to achieve group-based dominance that is partially determined by situational factors but not reducible to self-categorization processes associated with attitudes towards specific social groups or categories.",University of Auckland,['Victoria University of Wellington']
"Rutchick, Abraham M.. ""Deus Ex Machina: The Influence of Polling Place on Voting Behavior"". Political Psychology 31, no. 2 (2010)","Voting is perceived as free and rational. Citizens make whatever choices they wish, shielded from external influences by the privacy of the voting booth. The current paper, however, suggests that a subtle source of influence—polling places themselves—can impact voting behavior. In two elections, people voting in churches were more likely to support a conservative candidate and a ban on same-sex marriage, but not the restriction of eminent domain. A field experiment found that people completing questionnaires in a chapel awarded less money (relative to people in a secular building) to insurance claimants seeking compensation for abortion pills, but not to worker's compensation claimants. A laboratory experiment found that people subliminally exposed to ecclesiastical images awarded less money (relative to people exposed to control images) to abortion pill claimants, but not to worker's compensation claimants. Exposure to ecclesiastical images affected only Christians; non-Christians' awards were unaffected by the prime. These findings show that polling locations can exert a powerful and precise influence on political attitudes and decision making.","California State University, Northridge",[]
"Giguere, Benjamin, R. N. Lalonde. ""Why Do Students Strike? Direct and Indirect Determinants of Collective Action Participation"". Political Psychology 31, no. 2 (2010)","The current project investigated affective and strategic determinants of participation in collective actions by taking a multidimensional approach to collective identity (see Cameron, 2004) and investigating rational decision-making processes. A field study was conducted during an important student strike within the Canadian province of Quebec. One hundred and eighty four students attending the province's postsecondary francophone institutions participated in the study. Path modeling was used to investigate two channels to collective action participation. A direct path involved the affective dimensions of identification. An indirect strategic path revealed that pro-action arguments allowed individuals to derive instrumental value, which in turn led them to participate in collective actions. This indirect influence only occurred at higher self-control. The results and their implications for understanding participation in collective actions during social movements are discussed.",York University,['York University']
"Roccato, Michele, Cristina Zogmaister. ""Predicting the Vote through Implicit and Explicit Attitudes: A Field Research"". Political Psychology 31, no. 2 (2010)","Using the data collected by Itanes on a sample of the Italian population, representative according to the main sociodemographic variables, we analyzed the relations between voting intention, explicit and implicit political attitudes, and voting behavior. Participants (N = 1,377) were interviewed twice, both before and after the 2006 Italian National Election. The implicit attitudes (measured using the IAT) were substantially as effective as voting intention, and more effective than the explicit attitudes towards the main Italian political leaders, in forecasting the Election official results. When used to predict participants' voting behavior, the IAT added a significant, although slight, power to voting intention and explicit attitude. Inconsistency between explicit and implicit attitudes exerted a negative influence on the probability of having decided one's voting behavior in the preelectoral poll; however, among undecided participants, it did not significantly influence the probability of delaying one's voting decision and that of actually casting a valid vote. Limits and possible developments of this research are discussed.",Universit? di Torino,['Universit? di Milano-Bicocca']
"Bilali, Rezarta. ""Assessing the Internal Validity of Image Theory in the Context of Turkey-U.S. Relations"". Political Psychology 31, no. 2 (2010)","This research examines propositions of international image theory in the context of Turkey-U.S. relations. Study 1 derives and tests hypotheses regarding the interrelationships among theory components—perceived strategic relations, images, and behavioral tendencies. In addition, it extends image theory research by examining (1) the role of emotions, as well as (2) how variations in the strength of ingroup identifications (national and religious identity) inform our understanding of international images. Study 2 extends the findings of Study 1 by considering different dimensions of cultural status (cultural heritage vs. modernity) and by differentiating two targets of emotion: the U.S. government versus American citizens. Evidence is provided regarding the need for incorporation of emotions and group identifications onto the image theory framework. The results point to the need for more investigation of images and their relationships with other components of the theory in various intergroup contexts.",University of Massachusetts Boston,[]
"Mattes, Kyle, Michael Spezio, Hackjin Kim, Alexander Todorov, Ralph Adolphs, R. Michael Alvarez. ""Predicting Election Outcomes from Positive and Negative Trait Assessments of Candidate Images"". Political Psychology 31, no. 1 (2010)","Conventional wisdom, and a growing body of behavioral research, suggests that the nonverbal image of a candidate influences voter decision making. We presented subjects with images of political candidates and asked them to make four trait judgments based solely on viewing the photographs. Subjects were asked which of the two faces exhibited more competence, attractiveness, deceitfulness, and threat, which are arguably four of the most salient attributes that can be conveyed by faces. When we compared our subjects' choices to the actual election outcomes, we found that the candidates chosen as more likely to physically threaten the subjects actually lost 65% of the real elections. As expected, our findings support the conclusions of Todorov, Mandisodza, Goren, and Hall (2005) by showing a positive correlation between the competence judgments and the real election outcomes. Surprisingly, attractiveness was correlated with losing elections, with the effect being driven by faces of candidates who looked politically incompetent yet personally attractive. Our findings have implications for future research on negative political communication, as they suggest that both threatening first impressions and fleeting impressions of attractiveness can harm a candidate's electoral chances.",The University of Iowa,"['Scripps College', 'California Institute of Technology', 'Korea University', 'Princeton University']"
"Anderson, Mary R.. ""Community Psychology, Political Efficacy, and Trust"". Political Psychology 31, no. 1 (2010)","Much attention has been paid to the effects of political efficacy and trust on political participation. Most studies tend to use efficacy or trust as an independent variable to explain political actions such as voting, campaign involvement, and the like. Despite their importance in explanations of political behavior, relatively little is known regarding mechanisms through which social involvement may influence trust and efficacy. If efficacy and trust are of value, then it is important that we determine how their development can be fostered, and especially whether their development can be promoted through social interaction—such as a sense of community. Borrowing from the field of community psychology, I employ the Sense of Community Index to provide a more nuanced measure of community based on individual perceptions of their community that previous studies were unable to capture. Analyzing original survey data, this paper examines to what extent, if any, a sense of community matters for trust and efficacy. The results demonstrate that social forces, such as community, exert positive and significant effects on internal and external efficacy and personal and political trust, independently of individual traits such as income, age, gender, and education.",University of Tampa,[]
"Cohen, Jeffrey E.. ""Perceptions of Anti-Semitism among American Jews, 2000–05, A Survey Analysis"". Political Psychology 31, no. 1 (2010)","Despite their high degree of economic, educational, social, and political success, most American Jews in the early 2000s see anti-Semitism as a problem, and significant percentages see anti-Semitism as a very serious problem. How do we explain these perceptions of anti-Semitic threat given the comparative success of Jews in so many aspects of American life? This paper uses annual surveys from the National Survey of American Jews from 2000 through 2005 to address this question. Results indicate a multiplicity of factors affect perceptions of the seriousness of anti-Semitism. Those with a stronger sense of Jewish identity, lower income, and older people are more likely to see anti-Semitism as a very serious problem. Respondents also tend to see anti-Semitism as a more serious threat if they live in states with higher anti-Semitic incidents rates and when use of anti-Semitic terms in the news media increases. The conclusion puts the findings into perspective and suggests what we can learn by studying successful minority groups.",Fordham University,[]
"Sibley, Chris G., John Duckitt. ""The Ideological Legitimation of the Status Quo: Longitudinal Tests of a Social Dominance Model"". Political Psychology 31, no. 1 (2010)","Four studies examined whether members of the dominant group (New Zealand Europeans) who were high in Social Dominance Orientation (SDO) employed ideologies of equality-as-meritocracy to legitimate opposition toward policy-based resource allocations that favor disadvantaged groups. We tested this model, derived from Social Dominance Theory, using cross-sectional (Study 1; N = 338) and longitudinal data (Studies 2–4) collected in New Zealand. As predicted, SDO (but not Right-Wing Authoritarianism) exerted a cross-lagged effect on Equality Positioning and not vice-versa (Study 2; 1 year, N = 81); Equality Positioning exerted a cross-lagged effect on attitudes toward resource-specific social policies but not vice-versa (Study 3; 4 months, N = 132); and the cross-lagged effect of SDO on attitudes toward resource-specific policy was mediated longitudinally by Equality Positioning (Study 4; 1 year, N = 47). These findings indicate that the ideological positioning of equality is (at least partially) driven by individual differences in the motivation for group-based social dominance, and this in turn determines support for social and political policies that govern the group-based allocation of resources within society and thus systemic inequality.","University of Auckland, New Zealand",[]
"Winter, David G., Brooke E. Sweet. ""Measuring Implicit British Perceptions of German Intentions in 1938–1939"". Political Psychology 30, no. 6 (2009)","Implicit British perceptions of German leaders during the period September 30, 1938—September 1, 1939 (from the Munich Agreements to the German invasion of Poland) are studied with a ""ratio of threat accentuation"" measure. This ratio is calculated by comparing the densities of power motive imagery in two kinds of archival material: full texts of major Hitler speeches versus summaries in The Times of London, and British versus German accounts of meetings between British diplomats and major Nazi leaders. In both cases, the British ratio of threat accentuation increases following the unexpected German occupation of Prague and the rest of Czechoslovakia on March 15, 1939. These changes in implicit perception are congruent with changes in British explicit perceptions and foreign policy after the German action.",University of Michigan,['George Washington University']
"Miler, Kristina C.. ""The Limitations of Heuristics for Political Elites"". Political Psychology 30, no. 6 (2009)","Despite the extensive literature on citizens' use of cognitive heuristics in political settings, far less is known about how political elites use these shortcuts. Legislative elites benefit from the efficiency of the accessibility heuristic, but their judgments can also be flawed if accessible information is incomplete or unrepresentative. Using personal interviews and a quasi-experimental design, this paper examines the use of the accessibility heuristic by professional legislative staff when assessing the importance of natural resources issues to their constituents. Staff members recall only a small subset of the relevant constituents in the district, and this subset is biased in favor of active and resource-rich constituents over other, equally relevant constituents. This paper provides a new application of cognitive psychology to political elites and addresses important normative questions about the importance of information processing for political representation. By drawing on the psychology literature on heuristics, this paper identifies the cognitive mechanisms of congressional representation and provides new evidence of old biases.",University of Illinois,[]
"Mannarini, Terri, Michele Roccato, Angela Fedi, Alberto Rovere. ""Six Factors Fostering Protest: Predicting Participation in Locally Unwanted Land Uses Movements"". Political Psychology 30, no. 6 (2009)","In two studies we analyzed the predictors of participation in an Italian Lulu mobilization, rooted in the Susa Valley, a North-Western Italian valley where a high speed railway (HSR) should be sited. Based on the data of qualitative Study 1, performed interviewing 12 anti-HSR militants and 12 non anti-HSR militants, we hypothesized that Klandermans' (1997) model on participation (centered on group identification, sense of injustice, and collective efficacy) is suitable to predict the Lulu mobilization we studied, and that three contextual variables (community involvement, the perception of the existence of a vast majority in the community favoring the mobilization, and place attachment) may be added to Klandermans' to predict such a mobilization. We formally tested such hypotheses in quantitative Study 2 (representative sample of the people living in the Susa Valley, N = 250). Results supported the role of Klandermans' (1997) variables and confirmed the influence exerted by our contextual variables, thus suggesting that an integration of the two models would be fruitful in the analysis of Lulu mobilizations. Limits and future developments of this research are discussed.",University of Salento,['University of Turin']
"Matthews, Miriam, Shana Levin, Jim Sidanius. ""A Longitudinal Test of the Model of Political Conservatism as Motivated Social Cognition"". Political Psychology 30, no. 6 (2009)","Using data from a longitudinal study of college students, this study assessed the relationships among the threat perceptions of realistic threat and intergroup anxiety, the ideological motives of system justification and social dominance orientation (SDO), and political conservatism. Those who had higher perceptions of realistic threat and intergroup anxiety at the end of their first year of college showed higher levels of system justification and SDO at the end of their second and third years of college, controlling for precollege expressions of each variable. Higher levels of these two ideological motives at the end of students' second and third years of college were associated with more politically conservative attitudes at the end of students' fourth year of college, again controlling for precollege expressions. These longitudinal results are discussed in terms of a model of political conservatism as motivated social cognition.",Claremont Graduate University,"['Claremont McKenna College', 'Harvard University']"
"Suedfeld, Peter, Rajiv Jhangiani. ""Cognitive Management in an Enduring International Rivalry: The Case of India and Pakistan"". Political Psychology 30, no. 6 (2009)","Using integrative complexity scoring, the current study addresses how communications by leaders of India and Pakistan have revealed their information processing and decision-making strategies. The hostility between India and Pakistan started with the official creation of the two states and has lasted through more than a half-century. It has been marked by four full-scale wars and almost constant ethnopolitical, terrorist, and guerrilla violence. It is one of the most enduring and bloody binational rivalries of recent decades. Shared aspects of history and culture make the comparisons relatively free of confounding factors. In common with previous findings, complexity scores have shown reliable associations with impending war and with continued peace (or low-intensity conflict).",The University of British Columbia,[]
"Wells, Chris, Justin Reedy, John Gastil, Carolyn Lee. ""Information Distortion and Voting Choices: The Origins and Effects of Factual Beliefs in Initiative Elections"". Political Psychology 30, no. 6 (2009)","To account for voter decision making in initiative elections, we integrate theory and research on public opinion, misinformation, and motivated reasoning. Heuristic and motivated reasoning literatures suggest that voters' preexisting values interact with political sophistication such that politically knowledgeable voters develop systematically distorted empirical beliefs relevant to the initiatives on their ballots. These beliefs, in turn, can predict voting preferences even after controlling for underlying values, regardless of one's political sophistication. These hypotheses were tested using a 2003 voter survey conducted prior to a statewide initiative election that repealed a workplace safety regulation. Results showed that only those voters knowledgeable of key endorsements had initiative-specific beliefs that lined up with their underlying antiregulation values. Also, voters' empirical beliefs had an effect on initiative support even after controlling for prior values, and political sophistication did not moderate this effect.","Department of Communication, University of Washington","['Department of Political Science, University of Washington']"
"Lebel, Udi, Natti Ronel. ""The Emotional Reengineering of Loss: On the Grief-Anger-Social Action Continuum"". Political Psychology 30, no. 5 (2009)","This article deals with the role of bereaved parents' anger as a motivating force for political and public activism. After reviewing the place of anger in the experience of processing loss and bereavement and presenting anger as a factor that leads to public initiative, the article deals with the place that anger occupies in the bereaved sector of Israeli society. The claim is made that Israeli society has changed since its early years, when ""the national management of emotions"" did not allow anger to be present in the public discourse of bereaved parents, to the current era in which anger is an inseparable part of Israeli bereavement discourse. The following section of the article includes an interpretive analysis of the place of anger among the research subjects, bereaved parents who later became public and political entrepreneurs. All of the research subjects lost a son in one of three circumstances that are part of the Israeli security agenda: operational accidents, terrorist attacks, and IDF combat in Lebanon. Finally, the study attempts to answer how anger structures both public and private bereavement in Israel, shaping the bereaved parents as instant celebrities.",Sapir College and Ariel University Center,['Bar Ilan University']
"Jugert, Philipp, John Duckitt. ""A Motivational Model of Authoritarianism: Integrating Personal and Situational Determinants"". Political Psychology 30, no. 5 (2009)","We describe and test a collective security model of authoritarianism. This model sees Right Wing Authoritarianism (RWA) as directly caused by collective security motivation (CSM), which is in turn influenced jointly by personality (with its effects mediated through group identification and dangerous world beliefs) and social threat (with its effects mediated through dangerous world beliefs). Two studies tested this model using student samples—one was correlational (N = 218), while the other included an experimental manipulation of threat using future scenarios (N = 136). Structural equation analyses partially supported the model suggesting that CSM fully mediated the effects of threat and group identification on RWA, but only partially mediated the effect of personality, which also had important direct effects.","Friedrich Schiller University of Jena, Germany","['University of Auckland, New Zealand']"
"Herrmann, Richard K., Pierangelo Isernia, Paolo Segatti. ""Attachment to the Nation and International Relations: Dimensions of Identity and Their Relationship to War and Peace"". Political Psychology 30, no. 5 (2009)","Since the rise of mass politics, the role national identities play in international relations has been debated. Do they produce a popular reservoir easily tapped for war or bestow dignity thereby fostering cooperation and a democratic peace? The evidence for either perspective is thin, beset by different conceptions of identity and few efforts to identify its effects independent of situational factors. Using data drawn from new national surveys in Italy and the United States, we advance a three-dimensional conception of national identity, theoretically connecting the dimensions to conflictive and cooperative dispositions as well as to decisions to cooperate with the United Nations in containing Iran's nuclear proliferation and Sudan's humanitarian crisis in Darfur. Attachment to the nation in Italy and the United States is found to associate with less support for militarist options and more support for international cooperation as liberal nationalists expect. This depends, however, on containing culturally exclusive conceptions of the nation and chauvinism.",The Ohio State University,"['The University of Siena', 'The University of Milan']"
"Klar, Malte, Tim Kasser. ""Some Benefits of Being an Activist: Measuring Activism and Its Role in Psychological Well-Being"". Political Psychology 30, no. 5 (2009)","Do activists lead happier and more fulfilled lives than the average person ? Two online surveys using a sample of college students (N = 341) and a national sample of activists matched with a control group (N = 718) demonstrated that several indicators of activism were positively associated with measures of hedonic, eudaimonic, and social well-being. Furthermore, in both studies, activists were more likely to be ""flourishing"" (Keyes, 2002) than were nonactivists. A third study of college students (N = 296) explored the possible causal role of activism by measuring well-being after subjects either engaged in a brief activist behavior, a brief nonactivist behavior, or no behavior. Although well-being did not differ substantially between these three groups, the subjects who did the brief activist behavior reported significantly higher levels of subjective vitality than did the subjects who engaged in the nonactivist behavior. Potential mediators of the relationship between activism and well-being and the usefulness of these findings are discussed.",University of Gottingen,['Knox College']
"Butz, David A.. ""National Symbols as Agents of Psychological and Social Change"". Political Psychology 30, no. 5 (2009)","National symbols pervade most contemporary societies, and public policies encourage the displays of these symbols, yet little research has considered the psychological and social effects of exposure to national symbols. The current review integrates theorizing across social science disciplines and proposes that national symbols are not passive fixtures of people's environment, but instead may yield significant psychological and social effects. Empirically supported intraindividual consequences include enhanced national identification and the promotion of group unity at an unconscious level. National symbols may also have important implications for intergroup relations due to their relation to heightened national identification and potential to automatically activate concepts associated with nationhood. The factors that contribute to differential responses to national symbols and profitable avenues of future research are discussed.","University of Massachusetts, Amherst",[]
"Rabinowitz, Joshua L., David O. Sears, Jim Sidanius, Jon A. Krosnick. ""Why Do White Americans Oppose Race-Targeted Policies? Clarifying the Impact of Symbolic Racism"". Political Psychology 30, no. 5 (2009)","Measures of symbolic racism (SR) have often been used to tap racial prejudice toward Blacks. However, given the wording of questions used for this purpose, some of the apparent effects on attitudes toward policies to help Blacks may instead be due to political conservatism, attitudes toward government, and/or attitudes toward redistributive government policies in general. Using data from national probability sample surveys and an experiment, we explored whether SR has effects even when controlling for these potential confounds and whether its effects are specific to policies involving Blacks. Holding constant conservatism and attitudes toward limited government, SR predicted Whites' opposition to policies designed to help Blacks and more weakly predicted attitudes toward social programs whose beneficiaries were racially ambiguous. An experimental manipulation of policy beneficiaries revealed that SR predicted policy attitudes when Blacks were the beneficiary but not when women were. These findings are consistent with the claim that SR's association with racial policy preferences is not due to these confounds.",University of Michigan,"['University of California, Los Angeles', 'Harvard University', 'Stanford University']"
"Lau, Richard R., Caroline Heldman. ""Self-Interest, Symbolic Attitudes, and Support for Public Policy: A Multilevel Analysis"". Political Psychology 30, no. 4 (2009)","This paper examines the role of self-interest and symbolic attitudes as predictors of support for two domestic policy issues—guaranteed jobs and incomes and national health insurance—in the American National Election Survey (ANES) between 1972 and 2004. As was the case in 1976 when Sears, Lau, Tyler, and Allen (1980) first explored this topic, symbolic attitudes continue to be much more important predictors of policy attitudes than various indicators of self-interest over the 30 years we analyze. We explore this finding further to determine whether any individual/internal and external/contextual variables affect the magnitude of self-interest effects on policy support. Five possible internal moderators of self-interest effects are examined: (1) political knowledge, (2) issue publics, (3) political values, (4) social identifications, and (5) emotions, but none are found to boost the magnitude of the self-interest effect. However, we do find some evidence that contextual variables representing the social/information environment moderate the impact of self-interest on public opinion.",Rutgers University,['Occidental College']
"Kinder, Donald R., Katherine W. Drake. ""Myrdal's Prediction"". Political Psychology 30, no. 4 (2009)","In An American Dilemma: The Negro Problem and Modern Democracy, Gunnar Myrdal (1944) argued that white Americans were caught in a dilemma, torn between their commitment to noble democratic principles—what Myrdal called the American Creed—on the one side, and their belief in the superiority of the white race, on the other. Myrdal was certain that in the struggle between democratic principles and race prejudice, the former would prevail. Prejudice, Myrdal famously predicted, was about to disappear. Acknowledging the considerable progress that has taken place in American race relations over the past 60 years, we show that on this particular point Myrdal was wrong. Contrary to his prediction, prejudice has not disappeared; nor has its political significance diminished. Prejudice remains and its importance for politics depends, today as in Myrdal's time, on political circumstance: on the vicissitudes of history and the actions of leaders.",University of Michigan,[]
"Henry, P. J., David O. Sears. ""The Crystallization of Contemporary Racial Prejudice across the Lifespan"". Political Psychology 30, no. 4 (2009)","The conventional wisdom is that racial prejudice remains largely stable through adulthood. However, very little is known about the development of contemporary racial attitudes like symbolic racism. The growing crystallization of symbolic racism through the lifespan is tested using two data sets that measure the stability, consistency, and predictive validity of symbolic racism in samples ranging in age from young adults to the elderly. The results provide evidence that the crystallization of symbolic racism generally takes on a curvilinear trajectory across the lifespan, showing that it is already largely crystallized by voting age, that it continues to crystallize still further through adulthood and that it begins to decline in coherence in late adulthood. The results generally provide evidence confirming early speculations of symbolic racism theorists concerning the crystallization of symbolic racism across the lifespan and are discussed in terms of different theoretical perspectives on the relationship between aging and attitudes more generally.",DePaul University,"['University of California, Los Angeles', 'University of California']"
"Valentino, Nicholas A., Antoine J. Banks, Vincent L. Hutchings, Anne K. Davis. ""Selective Exposure in the Internet Age: The Interaction between Anxiety and Information Utility"". Political Psychology 30, no. 4 (2009)","The rise of the Internet forces scholars to reevaluate the frequency and nature of political information seeking in the contemporary period. The functionality of the Internet makes passive exposure more difficult, and selective information seeking easier, than in the past. However, people may also use the Internet in a new and directed way—to arm themselves with information to express and defend their views either online or in the real world. The central question we explore in this paper is what explains balanced versus biased information seeking in the era of the Internet? We combine insights from Sears and Freedman (1967) with newer work on emotion to predict motivated selectivity: focusing specifically on the interaction between anxiety and information utility. Our central theoretical claim is that anxiety does not simply boost any information seeking; it triggers information seeking that is useful for addressing the problem at hand. Anxiety alone, therefore, does not guarantee a balanced information search. When counterattitudinal information is useful for some reason—for example, to defend their own opinions to others who may disagree—anxious citizens should seek it out. As a consequence, these subjects should learn more specific information about where each candidate stands on the issues. In an experiment we find support for these hypotheses. We conclude that while today's flexible Internet environment may permit selectivity, balanced seeking should still occur under a fairly common set of circumstances.",University of Michigan,['University of Maryland']
"Farrar, Cynthia, Donald P. Green, Jennifer E. Green, David W. Nickerson, Steven Shewfelt. ""Does Discussion Group Composition Affect Policy Preferences? Results from Three Randomized Experiments"". Political Psychology 30, no. 4 (2009)","We report the results of three randomized experiments designed to assess whether participants' political attitudes are affected by the prediscussion opinions of their discussion mates. The experiments took place during three multisite Deliberative Polls in 2004 and 2005. Participants discussed current political issues within 330 groups of approximately 10 people each. Because the composition of the groups was determined randomly within each location, the demographic and ideological complexion of the discussion groups varied randomly. This paper examines the effects of randomly varying group composition on political opinions expressed after daylong discussion. We find only sporadic evidence of group composition effects. These results run counter to—or at least qualify—a substantial body of theory and laboratory evidence on the influence of group discussion.",Yale University,['University of Notre Dame']
"Renshon, Jonathan. ""When Public Statements Reveal Private Beliefs: Assessing Operational Codes at a Distance"". Political Psychology 30, no. 4 (2009)","This article uses both public and private documents to measure the operational code of John F. Kennedy in the summer of 1962. Previous operational code research (and indeed, much of content analysis more generally) has relied exclusively on the analysis of public speeches and is thus open to charges that the speeches represent attempts at deception, persuasion, or impression management. This article tests the validity of using public speech data in operational code analysis by comparing the output to the results one gets by analyzing private statements from the same period. The results strongly indicate that one obtains the same results using either the public or the private data, thus providing tentative confirmation of the validity of using public speeches for assessing the operational codes of leaders.",Harvard University,[]
